"sessionId (text)","page (text)","latency (number)","timeOnPage (number)"
b7f001d1,query,184,419.935
38b75cdf,query,49,326.668
b7e37343,query,243,317.269
b7d8daa1,query,105,435.906
39210a9f,welcome,31,18.677
b8fec97d,query,174,453.696
b8975ca1,explore,76,106.626
35f8c3c6,explore,22,96.403
37b77952,query,47,290.491
b8cfe070,query,17,286.052
b90d7af7,query,17,340.614
358c9a0c,explore,48,95.723
b84594ca,query,19,319.742
b81c56df,explore,226,118.843
b88d3fab,welcome,18,32.844
38d55191,explore,74,105.298
b914fb40,welcome,38,34.534
b8122da4,index,5,24.786
b90615ce,explore,22,104.616
b8cac1a5,explore,22,88.457
39385215,explore,22,83.736
382cdde5,index,6,69.580
b80eb039,explore,60,152.061
388853bd,explore,215,102.566
b8e12e6e,welcome,7,30.078
b98ebec4,explore,22,156.979
b7ab0e84,welcome,8,33.284
39491dc0,query,62,309.489
b8b7f4ed,query,26,477.002
38362dc7,query,89,335.146
b8a9be6c,query,17,421.326
36900b7e,welcome,17,21.058
b7d0234d,welcome,47,23.240
b8e095e6,query,209,421.960
b91ca70c,welcome,9,32.575
b8aeaf23,explore,22,169.129
b9329f10,explore,226,94.585
38b1d420,explore,22,140.924
b85d4e3f,explore,22,51.401
38e1271f,explore,39,84.613
38b1d420,explore,144,101.637
391aba67,index,22,23.978
b7b8836b,explore,397,79.995
b5a1784c,welcome,18,12.912
391a5492,query,161,358.668
b84594ca,explore,22,81.957
b81ef401,query,61,401.414
38e0d141,query,56,329.967
b8cac1a5,,34,
38e8133d,welcome,64,38.913
b6101a3d,query,160,374.858
381057b5,query,28,417.143
b90eaa9e,index,29,41.826
b90dcc0e,index,4,43.214
388dafc8,explore,38,154.498
b8688818,query,71,253.781
36e6f771,explore,56,130.839
b8a7b3e1,welcome,39,31.045
b85d4e3f,query,68,388.695
38f48a17,explore,51,123.914
b8c8a3e0,query,145,433.486
b90b86fa,explore,64,169.623
38b947b1,query,56,388.072
b5a47725,welcome,55,51.135
39385215,explore,22,92.590
35c181e1,query,17,382.967
3711ba7f,query,31,399.620
391aba67,query,523,315.064
388a2967,explore,297,96.453
37b33c75,query,28,384.099
38e3ee0f,query,17,275.032
3924915d,index,16,78.851
b7f3e9fd,query,197,319.439
37d0b1aa,query,17,299.008
b99795ae,explore,33,60.567
b84abd42,index,10,74.135
b89c9a7d,explore,111,133.017
38c373ed,query,228,467.960
b90615ce,query,155,309.311
b8a1cb67,welcome,63,25.966
b8948bbd,welcome,7,37.379
38e60b8d,explore,176,72.127
38902478,query,70,261.989
b8e095e6,explore,122,53.531
b96586a1,explore,22,104.306
b90d573c,query,24,369.167
391aba67,query,303,389.019
38fa725b,explore,132,84.093
b8f4d4c6,welcome,7,23.562
36955bd2,welcome,53,40.354
38a6eb8d,welcome,51,40.426
b9342036,query,202,397.303
b8a5da63,query,40,274.172
37f8075c,explore,108,77.630
38c373ed,query,17,312.505
39065b99,query,63,420.047
38f6f67d,explore,65,26.475
b7d5ed7a,index,15,37.488
3830dba8,index,33,51.861
390dff6a,welcome,9,27.440
b8382c2e,query,17,466.138
38748001,welcome,12,17.392
b7f3e9fd,query,17,408.773
386384b2,explore,22,107.407
3846924d,explore,86,29.269
358c9a0c,,10,
3871c9ff,index,57,33.358
386c9c39,,12,
384246ca,query,294,320.667
387a1bb9,query,29,497.896
b8bc1a7b,index,6,32.435
39210a9f,,83,
b96586a1,query,64,428.352
b98ebec4,explore,253,167.750
b82f3b00,,10,
b8382c2e,index,10,21.614
b8be6444,explore,33,104.013
b7e37343,query,17,386.898
38ac9e6f,explore,38,142.056
37d8bdb5,welcome,97,42.042
b7c0defa,welcome,7,33.941
3900f216,,46,
38d55191,query,127,505.709
3958d084,query,316,380.432
b8c01be8,query,30,327.723
38e4b42d,query,76,365.420
b9159ef1,index,9,61.602
389cc83d,query,131,375.427
b7e37343,query,111,444.040
b89767e9,query,47,361.627
b9810c54,query,66,467.963
3950974b,query,376,453.299
b917e5cd,,57,
38c25a91,,11,
b8a4310c,query,17,382.271
38257ba4,query,87,362.016
b88f1036,,14,
b867dc5a,explore,79,57.016
b7681b4d,,21,
b90fff3f,,74,
b787821d,query,51,368.210
b84594ca,query,70,373.380
38caddaf,query,92,376.666
3815097f,index,6,50.181
38156a17,index,34,71.301
b7d5ed7a,explore,302,100.039
b99795ae,query,66,530.552
3831c504,,24,
b8658d44,welcome,10,20.889
38e3ee0f,,51,
b8e809a5,explore,299,130.825
b8382c2e,query,43,324.824
b843e013,explore,22,114.340
b806dd03,query,56,502.400
3909104a,explore,22,102.280
3807084e,explore,22,125.548
b6101a3d,query,191,375.874
38e1271f,query,60,258.175
b8169bb5,query,48,444.032
b7c0e8b3,explore,68,106.202
38cd9330,welcome,21,28.474
391a5492,explore,80,116.665
b90615ce,explore,188,132.539
38e1271f,index,11,48.238
b7f27ed9,query,66,438.087
b7f72be4,,10,
b90eaa9e,query,85,313.100
b78d617e,query,83,294.133
b7c0e8b3,query,22,350.859
37bea6f2,explore,68,128.474
b659c57c,query,164,334.536
378f49a4,welcome,7,30.177
b93623f6,explore,171,160.312
b8a4310c,explore,46,109.080
b7d8daa1,query,17,285.011
3711ba7f,explore,173,123.781
381e19e6,query,59,441.818
b8a1cb67,query,20,353.133
38841a01,query,140,396.454
b7e15902,,39,
b84abd42,explore,62,85.235
b94ebcb4,welcome,7,36.745
37874df2,explore,97,92.423
38caddaf,welcome,19,24.855
3871c9ff,query,55,428.309
b9342036,query,97,413.837
b601d89f,explore,22,157.793
39769f6a,welcome,7,22.169
37fb1a4f,,64,
b988c693,query,17,427.446
39385215,explore,70,148.602
b9342036,explore,27,123.651
b9342036,explore,344,127.729
b96586a1,,22,
35f8c3c6,explore,115,119.022
b8041265,welcome,11,32.851
b92ac6bf,explore,31,124.712
38db6d7a,welcome,85,22.705
b90bbb27,explore,54,113.575
3900f216,query,104,346.697
b8bb093a,explore,57,141.512
b8a3e272,query,25,456.059
b8e095e6,welcome,7,15.252
38f26f07,explore,22,82.617
b8447d62,query,112,460.418
388ec167,query,69,354.631
38e8f839,query,17,427.918
38b0092b,explore,281,16.815
b8ca5cd7,,40,
38aa9764,,10,
b8bc1a7b,query,100,277.156
38932b0c,explore,22,121.429
374c2ca8,explore,108,131.948
38b8786a,query,158,276.314
b94586d6,query,17,358.844
38841a01,welcome,63,29.472
34ee03b8,explore,42,170.492
38011cf5,explore,29,66.811
37c357dc,explore,328,56.095
b878fc6f,explore,156,131.559
b9342036,explore,113,42.553
38f26f07,query,17,333.057
b85d47a6,welcome,58,29.217
3925ba95,explore,22,110.166
b7d66c06,explore,119,144.567
b8aeaf23,query,152,413.151
b9441603,query,41,284.485
b78d617e,welcome,52,22.854
b78d617e,query,31,339.878
3950974b,explore,22,100.062
b8e95904,explore,28,123.335
b726a7b0,query,170,351.891
b8d33c36,welcome,13,45.020
38e0d141,query,68,278.437
37fc47bb,query,146,372.826
37b77952,welcome,17,39.161
b5a1784c,query,85,313.508
3898c996,welcome,37,37.301
b8986c50,index,11,57.061
37d549f5,explore,172,140.380
b7f27ed9,query,35,356.306
38563a7f,index,27,64.046
38a7e8b2,welcome,38,37.724
b8cac1a5,query,38,399.881
387a1bb9,explore,22,152.765
3935a21e,,18,
38b1d420,query,70,407.081
38b245f2,explore,455,65.535
389f1851,explore,22,139.525
b98bba62,explore,214,62.935
38aa9764,explore,160,143.349
b90dcc0e,index,60,36.260
36e6f771,welcome,14,27.513
3909104a,explore,232,152.207
36900b7e,explore,22,85.328
b8382c2e,explore,22,137.596
b8bc1a7b,explore,95,59.959
38841a01,query,198,368.881
38f0d551,query,26,361.146
37fb1a4f,index,13,19.278
383cd1a5,query,69,433.779
37c1f52a,query,248,357.544
b8cc43ac,query,20,425.299
3807084e,query,122,441.248
38f26f07,query,19,368.324
b7c0e8b3,explore,33,88.388
38a7e8b2,explore,34,72.080
38fa725b,query,49,339.705
b8837647,welcome,49,26.696
b8447d62,query,47,382.078
384ca519,explore,36,123.722
b62ec66f,query,42,400.983
b8a1cb67,explore,157,120.405
b804cee1,explore,183,127.708
38841a01,explore,310,68.376
3925ba95,,25,
36b84dc0,welcome,19,22.778
3884e874,query,22,423.486
b8817b4a,explore,103,139.164
b94ebcb4,,15,
3815097f,index,13,39.079
b878fc6f,welcome,39,35.410
b8b84ca8,index,4,28.760
b905f723,explore,482,129.624
b95144b9,explore,450,108.818
b8382c2e,query,196,320.220
391a5492,query,153,360.741
b88f1036,query,23,364.291
38e0d141,explore,23,132.958
b8658d44,query,17,445.409
37ad6b5d,welcome,7,43.942
3830dba8,query,92,345.975
37d1fe69,explore,22,155.289
37874df2,,10,
b7112974,index,46,50.174
35fec392,query,57,450.865
b7ab3227,query,17,409.210
35c181e1,explore,206,100.058
37625f95,query,157,355.462
381057b5,index,19,30.101
b7481af2,explore,36,117.112
37c1f52a,index,4,80.939
b7e37343,explore,33,134.990
38f48a17,query,17,306.721
38965f23,query,141,397.784
38c373ed,explore,22,127.326
b96586a1,query,145,326.802
38d64a2e,explore,22,120.786
384ca519,query,140,383.027
b98ebec4,explore,38,66.584
b8fec97d,query,17,414.926
b84594ca,,17,
3830dba8,query,17,423.889
b89e1d64,explore,99,134.399
3886df93,query,17,364.425
b7481af2,query,21,408.000
38b947b1,explore,22,115.442
b897ffb8,query,36,413.853
b95144b9,explore,88,197.003
37d0b1aa,explore,44,159.306
389f1851,explore,346,187.088
39413b27,welcome,9,32.744
b88f1036,explore,73,111.506
381057b5,explore,45,187.759
381e9490,query,96,414.253
39769f6a,welcome,7,42.778
b86e62d2,explore,52,123.008
b94ebcb4,query,27,406.778
3846924d,welcome,7,29.129
38c76558,,35,
b91f1cf5,explore,22,151.308
b86d5dbd,welcome,9,32.312
b7e37343,query,144,396.690
b8975ca1,welcome,7,25.275
381e9490,query,113,314.087
b806dd03,query,17,382.729
386c9c39,query,28,503.942
390b2f2f,index,41,40.745
b85d47a6,explore,121,106.716
38748001,,22,
b956c43b,welcome,59,35.789
b9649b34,query,194,307.005
b93990cd,query,65,420.047
3874ae7f,explore,208,66.106
b8948bbd,query,103,417.105
3900f216,explore,263,131.372
b93623f6,query,253,439.534
b787821d,index,4,58.182
b988c693,index,57,52.264
3875bcff,query,32,343.436
b8bc1a7b,query,17,339.062
b8169bb5,explore,135,83.837
b5a1784c,explore,92,160.529
b843e013,query,92,399.495
38abd294,query,212,366.534
36954c40,explore,30,60.353
b78fbcf0,welcome,22,27.864
b8808ae4,explore,49,129.810
b9159ef1,,47,
b5503f5d,explore,22,44.364
b7c0defa,query,117,335.180
39769f6a,explore,374,70.648
b9649b34,query,26,333.182
37f8075c,query,18,299.015
b78fbcf0,welcome,38,38.764
37d0b1aa,query,52,286.811
b8c8a3e0,explore,93,124.279
3886df93,query,221,411.716
b8a12480,welcome,18,26.827
36e6f771,,27,
38d5f87c,explore,300,131.460
384bd788,query,20,358.375
b9649b34,query,115,453.117
38c25a91,query,17,327.925
38d5f87c,explore,159,97.264
b91ca70c,index,7,49.934
b8bb093a,query,87,376.199
b8425e7c,query,43,381.337
b8c4aed5,query,203,480.740
38e4b42d,query,31,375.692
3950974b,query,26,433.048
38b245f2,,71,
b804cee1,query,209,284.836
378f49a4,query,305,420.260
b8a5da63,welcome,14,21.251
b8122da4,index,22,71.919
39248759,,294,
b94586d6,explore,277,110.754
37d0b1aa,,28,
b8793ac8,explore,22,65.423
37fb1a4f,explore,155,49.698
b8041265,index,12,51.800
b9159ef1,explore,347,70.698
b929d638,explore,88,108.402
b8fa8577,welcome,63,26.144
38697116,explore,131,117.884
38caddaf,welcome,45,28.136
3898c996,query,139,375.124
38b75cdf,welcome,46,34.734
b8cac1a5,query,193,385.993
b8aeaf23,,27,
36900b7e,query,209,436.201
38c79ea2,query,59,347.013
b959f35a,query,242,378.740
38ca5ce9,,47,
35fec392,welcome,7,31.494
38dfa65c,welcome,28,1.037
b98bba62,query,184,390.202
b90b6149,query,132,406.513
b806dd03,query,70,368.635
38e8f839,welcome,63,18.958
b79aa74c,,106,
358c9a0c,explore,161,6.273
b9599a64,explore,150,99.546
b8d7325b,query,152,500.028
b93cb6bd,query,422,390.737
38ca5ce9,index,49,47.980
b959f35a,welcome,21,39.199
b7ab3227,query,39,232.947
b7d0234d,welcome,35,34.278
391aba67,explore,35,124.438
b8d33c36,query,199,401.215
b601d89f,explore,22,119.270
b8a687ac,query,316,405.372
b871bf8d,index,4,55.838
388ec167,index,22,43.766
3884e874,query,17,291.078
b8d33c36,explore,33,136.117
b8c1fbac,welcome,103,31.767
b90fff3f,query,63,423.767
b90bbb27,explore,159,149.035
391a5492,query,234,426.621
b907939e,query,165,381.448
b905f723,query,75,383.806
38973351,query,39,308.943
b892068e,query,83,371.718
b8041265,explore,22,103.059
38d64a2e,query,213,351.992
b9599a64,query,44,371.719
38a7e8b2,query,124,366.385
388853bd,index,28,62.006
3846924d,index,4,93.224
3915c65c,query,28,323.424
b7112974,query,17,258.904
b99795ae,index,19,63.371
b8877362,explore,22,164.648
b93990cd,query,36,368.033
388ec167,query,17,442.255
38e6b63d,welcome,16,30.591
b84aefa1,explore,70,116.795
b98bba62,explore,127,137.306
b8a12480,welcome,7,22.094
b8793ac8,query,285,310.087
381057b5,query,27,438.635
b818a1d2,welcome,8,20.502
38257ba4,query,258,339.350
398a653a,welcome,7,28.126
b5a1784c,explore,22,49.874
38257669,explore,79,100.520
b7c0defa,query,169,366.988
3886df93,,155,
381b8f82,index,13,51.784
b94ebcb4,index,7,42.685
38d3372b,explore,434,162.052
b8e809a5,query,339,401.218
b8837647,query,65,404.899
b8cf6262,explore,24,40.176
b94586d6,explore,52,83.988
b8653385,welcome,30,34.332
b8b92cf9,query,17,330.990
b8f4d4c6,query,31,372.248
37116eb3,welcome,26,25.326
38f57621,query,17,343.795
388a2967,welcome,8,22.916
38b94579,index,9,32.512
38abd294,query,31,276.098
384246ca,explore,232,132.382
38d5f87c,query,36,424.983
b90fff3f,explore,25,87.486
38d55191,query,57,351.664
38886257,explore,22,131.336
38505b86,welcome,79,30.864
38a654ac,index,37,39.423
37d549f5,explore,74,103.427
38e8133d,explore,179,116.213
b9159ef1,query,53,394.486
381e9490,query,168,354.709
b8e095e6,explore,73,108.343
b90bbb27,query,21,547.815
38932b0c,query,148,335.437
b9649b34,,47,
36e6f771,explore,211,190.735
39083bce,welcome,25,23.993
b601d89f,welcome,41,27.345
389cc83d,welcome,54,28.195
b8cc43ac,query,182,353.674
b96586a1,query,17,394.254
37fc47bb,query,28,360.291
b5a47725,index,5,59.111
3871c9ff,welcome,23,36.098
b8e809a5,query,83,373.856
391aba67,explore,34,147.445
35c181e1,explore,22,87.948
38c1a11e,query,453,287.621
37b77952,welcome,7,31.444
382cdde5,query,20,444.557
37b77952,query,95,346.891
38841a01,welcome,7,21.151
384246ca,welcome,7,29.970
38902478,explore,26,86.084
b90d573c,query,149,353.836
b9329f10,explore,22,62.622
b891eb71,query,19,296.864
b81ef401,query,324,385.799
b8975ca1,explore,146,187.851
b7f001d1,explore,77,148.514
b917e5cd,explore,103,132.683
37625f95,query,98,303.258
b8cfe070,query,100,404.443
b81ef401,query,17,400.938
b8cac1a5,,10,
37b718a2,query,40,408.404
386c9c39,explore,62,184.693
b988c693,explore,50,33.631
b93cb6bd,welcome,36,42.377
35c181e1,welcome,19,16.173
39946190,query,17,346.362
b8c8a3e0,query,17,380.080
37ff412a,query,57,412.035
b87c1d9b,explore,175,108.032
b98ebec4,explore,232,73.656
39769f6a,explore,49,183.269
b871bf8d,welcome,30,15.291
b8bbc92e,welcome,7,29.241
38cc2669,welcome,38,42.373
39083bce,explore,22,197.204
b88d3fab,welcome,46,27.067
38748001,welcome,77,29.867
389f1851,query,17,399.777
37b33c75,welcome,7,18.887
b8c6bc84,,278,
b8122da4,index,25,60.107
b8f78219,welcome,28,20.693
38b8786a,,24,
3807084e,explore,150,83.112
38257669,explore,148,138.662
37f7179a,,79,
b90998fb,index,4,59.572
b89e1d64,welcome,85,31.492
b8688818,query,138,323.927
b7f3e9fd,query,17,299.617
b8a4310c,welcome,21,31.571
386c9c39,explore,22,168.417
38973351,query,17,400.447
b7481af2,query,101,437.786
3950974b,welcome,7,33.292
3935a21e,index,49,38.274
b84594ca,query,18,435.574
37d1fe69,explore,92,142.950
36b84dc0,query,20,364.186
b787821d,,55,
38e6b63d,query,39,336.188
b94586d6,explore,93,26.872
38cc2669,explore,121,84.068
38e8133d,welcome,181,5.888
b81ef401,query,94,420.752
38ac9e6f,explore,33,110.260
38156a17,query,77,401.158
3711ba7f,welcome,58,33.183
37d8bdb5,explore,89,107.873
38d5f87c,query,159,331.759
b81c56df,explore,22,191.395
36955bd2,query,17,338.272
b5a1784c,explore,54,76.129
b9649b34,query,34,367.636
b8d33c36,explore,22,176.231
3786d738,welcome,22,37.989
b926e20c,explore,94,29.667
b914fb40,query,73,313.776
b82434b6,welcome,7,35.495
b85d47a6,query,37,379.869
b90dcc0e,query,45,334.618
34ee03b8,query,17,368.263
b8447d62,welcome,8,26.406
38aa9764,explore,94,110.601
b8aa3018,welcome,103,40.121
39065b99,index,34,41.813
3900f216,welcome,10,33.457
b92cf46d,welcome,22,37.005
b86d5dbd,explore,133,166.187
393dfc60,query,17,354.850
b8975ca1,welcome,52,35.386
38d55191,query,64,357.143
b8c4aed5,query,122,381.601
b7f27ed9,,10,
37bea6f2,welcome,7,25.525
b89c9a7d,query,96,269.053
3831c504,index,47,28.255
b7d66c06,,44,
39083bce,query,25,467.820
b8a687ac,query,25,312.462
381b8f82,query,131,433.004
b5b3a0cd,explore,40,121.187
38156a17,welcome,15,32.607
3900f216,explore,22,108.796
b8f78219,welcome,8,20.723
b956c43b,explore,32,131.002
395ee12f,explore,22,171.082
b8a12480,welcome,46,31.462
b93a2185,welcome,62,45.345
b8b84ca8,welcome,49,27.277
38edceae,query,115,412.406
b7d5ed7a,explore,107,108.713
b8c8a3e0,explore,159,67.885
b86e62d2,explore,51,117.293
b86d5dbd,,25,
37b9d3d1,explore,49,141.651
38cd9330,explore,139,126.289
37874df2,query,17,356.769
395f2209,welcome,7,29.563
b892068e,index,8,59.070
b90dcc0e,,10,
37fc47bb,query,36,355.846
b8bbc92e,explore,208,170.880
b93990cd,query,95,342.473
38697116,explore,22,153.100
3909104a,welcome,24,33.744
b91ca70c,query,155,434.694
38902478,welcome,7,34.680
38a7e8b2,welcome,108,18.222
b84b1ec3,query,94,362.965
b7b8836b,query,175,378.571
b9176de7,index,32,49.326
38aa9764,query,139,304.699
35af9b86,explore,22,88.989
b8169bb5,query,327,369.230
388dafc8,welcome,33,17.614
b926e20c,query,71,450.789
37f7179a,explore,22,163.932
b8b84ca8,explore,89,136.204
b8948bbd,query,54,385.954
35f8c3c6,query,38,358.407
382cdde5,query,39,387.107
b8e2116b,query,100,483.790
b86d5dbd,query,17,446.687
b90b6149,query,17,367.876
3886df93,explore,80,128.831
387598a7,index,8,44.155
38caddaf,,194,
387598a7,query,47,424.723
38e8133d,explore,132,58.415
38697116,,177,
36b84dc0,query,130,482.137
b8447d62,welcome,35,24.176
359b733f,,10,
b8d33c36,query,17,407.979
b959f35a,query,17,284.108
b8e2116b,query,82,301.115
38a8053a,query,23,380.384
b80cd3d8,query,57,357.695
b914fb40,welcome,27,20.279
b9441603,query,177,356.546
37d0b1aa,,10,
b804cee1,query,90,392.342
38db6d7a,query,53,317.456
b9001574,explore,480,96.319
b90998fb,explore,49,75.223
389cc83d,index,8,42.616
b8419b59,,58,
b92cf46d,explore,22,176.902
391a72ed,query,89,310.563
b9810c54,query,17,520.547
b93623f6,query,39,273.865
b8658d44,welcome,92,28.558
381e9490,explore,315,28.768
395ee12f,explore,39,62.442
39413b27,explore,196,126.751
3875bcff,index,23,61.834
37d1fe69,explore,259,117.532
37f7179a,index,4,34.311
b82434b6,,56,
b8948bbd,explore,38,112.229
38cd9330,explore,50,134.256
b8e095e6,query,30,414.684
b905f723,query,42,351.642
b8b84ca8,query,66,455.019
b8b92cf9,query,48,283.073
381e19e6,query,68,365.046
b8a4310c,query,194,421.270
38563a7f,query,17,460.520
b7d5ed7a,,18,
b875edba,query,54,353.267
b959f35a,explore,234,137.852
b8f4d4c6,explore,338,105.067
3875bcff,,84,
3846924d,query,86,390.669
b9159ef1,query,17,445.259
b90998fb,query,160,401.321
b8aeaf23,explore,100,110.171
b90b6149,query,32,430.730
b5a47725,query,149,464.152
b8cf6262,index,17,56.143
b7c0e8b3,query,177,377.270
395ee12f,explore,22,158.844
38abd294,query,28,326.510
b804cee1,explore,57,86.572
3831c504,query,17,368.847
b89c9a7d,index,12,26.470
b88631a8,index,7,71.890
393dfc60,explore,49,149.935
b8041265,welcome,66,30.149
38c373ed,welcome,26,37.215
37d1fe69,welcome,7,14.633
b8122da4,query,167,405.766
3909104a,,10,
b914fb40,explore,52,168.223
38dfa65c,explore,45,88.613
b7c0defa,query,27,347.549
38916f1a,welcome,7,50.331
394d0a93,explore,30,70.682
b8986c50,query,55,368.346
3898c996,query,56,431.701
b8c6bc84,query,92,263.224
38a8053a,explore,22,95.691
b8c01be8,query,240,410.820
38c1a11e,welcome,35,39.111
39769f6a,explore,107,97.659
38886257,index,47,61.254
3887c4bf,explore,175,170.268
37c357dc,query,162,379.720
37d0b1aa,query,229,397.186
3910d2e4,explore,32,35.134
b8817b4a,query,33,520.931
b7096a1b,explore,33,105.656
b883ec2a,query,167,332.994
3886df93,explore,65,98.762
b7e37343,index,14,53.842
38ef1e28,welcome,7,29.546
b8e12e6e,welcome,95,22.037
3872fffb,explore,77,46.560
38abd294,query,17,363.582
b878fc6f,,51,
38b947b1,query,85,443.088
b871bf8d,explore,236,122.301
39385215,,58,
b81d2775,,13,
b8cf6262,query,58,373.477
b7d0234d,query,246,429.645
b90d7af7,explore,139,149.443
b82434b6,,10,
b905f723,welcome,39,18.625
38b0092b,welcome,8,15.517
b9176de7,explore,28,138.287
3924915d,index,4,43.150
38ec0790,explore,22,113.263
37fb1a4f,query,44,245.510
36900b7e,,31,
b7f001d1,explore,57,131.728
b7d8daa1,explore,68,123.232
388853bd,query,17,443.535
b91ca70c,explore,36,69.985
390d47b7,,30,
35af9b86,welcome,12,25.723
b7d5ed7a,query,160,458.011
3872fffb,query,46,383.180
37f13d8f,welcome,13,43.783
b7f27ed9,explore,57,112.378
b841c8dc,explore,22,161.480
b8be6444,query,38,357.193
38a7e8b2,query,42,355.749
342ebe5e,query,17,360.028
37c2ec4e,query,234,329.307
38f0d551,welcome,297,29.529
3807084e,query,85,435.268
38c1a11e,index,32,57.773
38c79ea2,explore,91,166.906
38cd9330,index,18,52.974
b926e20c,explore,325,169.365
b926e20c,index,4,93.768
38c79ea2,query,17,334.793
38011cf5,,178,
b8975ca1,welcome,7,12.987
38a654ac,query,180,466.036
38d55191,query,33,374.059
37c1f52a,welcome,24,21.319
b8bbc92e,welcome,37,20.506
3875bcff,welcome,7,39.254
b81d2775,index,4,62.890
b99795ae,query,121,464.909
378f49a4,query,113,414.576
386b32b6,query,218,339.349
38f0d551,explore,131,148.118
388dafc8,query,41,368.230
b8cfe070,query,460,381.284
382cdde5,welcome,7,30.383
b956c43b,query,49,311.480
b8be6444,explore,173,128.025
387598a7,explore,23,112.268
b86d5dbd,query,17,419.803
b8041265,explore,117,86.603
b8122da4,explore,57,85.210
b8a2a70e,welcome,111,36.401
b7f001d1,index,31,47.812
b98bba62,welcome,14,28.742
b98bba62,explore,247,141.538
398a653a,query,65,450.514
3807084e,welcome,47,22.681
39210a9f,welcome,57,40.048
b8c6bc84,query,17,465.653
38b0092b,query,236,330.679
3875bcff,index,9,82.270
381057b5,explore,83,55.212
b7e15902,welcome,23,32.659
384ca519,explore,170,78.428
37b33c75,welcome,80,37.066
b8425e7c,query,18,324.405
b8c01be8,query,17,419.915
342ebe5e,query,138,320.293
b806dd03,explore,22,135.984
b85d4e3f,,10,
b8cac1a5,welcome,22,21.549
38caddaf,,119,
b85d4e3f,explore,177,200.850
b91dcf06,query,63,333.525
b62ec66f,index,7,51.232
38e60b8d,query,98,427.672
38a7f199,explore,56,135.417
3925ba95,query,181,504.887
b88631a8,explore,33,65.430
384ca519,explore,22,113.011
38e8133d,explore,22,143.491
38c76558,query,17,422.357
b8e809a5,explore,57,108.240
b8bb093a,welcome,80,34.139
b8fa8577,welcome,13,31.771
3887c4bf,explore,96,114.520
3887c4bf,welcome,7,31.697
b84b1ec3,query,28,341.375
b8975ca1,welcome,43,32.397
378f49a4,welcome,56,32.773
b86d5dbd,,114,
37869704,query,85,430.114
3909104a,welcome,61,27.872
38e1bb0f,index,13,21.556
b883ec2a,,13,
3935a21e,welcome,7,20.828
b84abd42,query,53,391.198
38ac9e6f,welcome,7,31.511
3874ae7f,query,17,320.679
39413b27,query,77,384.753
b93990cd,explore,23,143.057
b8d7325b,query,24,453.269
b804cee1,query,58,414.975
b81ef401,explore,22,96.045
b7e15902,index,35,60.296
3815097f,welcome,78,30.487
b8948bbd,index,4,73.504
38b75cdf,query,17,367.124
b818fcb7,index,43,30.572
b914fb40,welcome,57,48.217
3900f216,query,65,458.249
38973351,query,35,348.581
b867dc5a,query,77,362.217
3905a421,query,144,333.291
b8bc1a7b,welcome,7,24.138
b90998fb,query,140,439.481
3910d2e4,index,73,74.137
38ca5ce9,welcome,7,32.983
b8986c50,explore,351,120.727
b80cd3d8,explore,71,181.512
3909104a,explore,22,28.225
38697116,explore,54,145.370
3905a421,welcome,7,29.776
b8aeaf23,welcome,96,28.563
37874df2,query,17,379.710
b93623f6,query,135,356.403
b98ebec4,explore,74,42.304
b8f78219,index,5,91.702
b8cc43ac,query,17,432.429
b823c5dd,query,78,445.078
b8837647,welcome,100,34.441
b8793ac8,,50,
381b8f82,,10,
b8f4d4c6,explore,30,153.256
b7e37343,query,129,350.821
b8bc1a7b,explore,67,68.361
358c9a0c,query,17,296.835
b829157d,query,17,389.490
391a5492,explore,330,127.137
b90b86fa,query,241,350.977
b9001574,explore,541,95.796
b7681b4d,explore,112,176.148
b8a5da63,query,35,364.329
b907939e,query,29,389.264
38e8133d,explore,79,78.973
38d55191,query,110,422.544
38563a7f,query,20,365.213
3900f216,query,30,382.987
38ec0790,explore,305,99.539
39769f6a,query,48,415.980
b86d5dbd,,124,
b91ca70c,index,28,41.312
b7d8daa1,query,31,335.948
b9649b34,explore,314,69.260
38973351,explore,138,110.260
37f7179a,query,55,462.616
b8817b4a,query,45,428.670
b8382c2e,index,43,31.554
b78fbcf0,explore,41,94.704
3828a5b7,welcome,89,28.873
36e6f771,welcome,52,24.102
b8fa8577,query,20,413.189
b80eb039,query,45,311.611
b7112974,query,25,412.224
342ebe5e,query,171,385.421
b91dcf06,query,35,339.756
388dafc8,query,50,343.095
b871bf8d,welcome,47,24.917
b8a7b3e1,welcome,18,31.539
38c76558,explore,33,137.374
3900f216,,54,
b959f35a,query,176,431.583
b92ac6bf,query,70,447.619
39065b99,query,17,463.963
b887e1af,explore,639,207.917
3846924d,explore,35,131.238
38011cf5,welcome,59,47.871
386384b2,query,54,420.721
394d0a93,query,278,355.438
374c2ca8,welcome,231,48.761
39769f6a,explore,81,112.499
39065b99,explore,87,81.745
b8169bb5,query,43,289.200
3935a21e,query,160,462.402
3830dba8,query,17,404.976
386384b2,index,19,58.245
b79aa74c,explore,215,75.304
37f8075c,explore,43,101.231
38f26f07,query,17,362.261
b9329f10,explore,22,113.881
b8653385,query,88,433.825
38563a7f,index,6,31.501
b92ac6bf,query,92,279.577
38c25a91,index,4,40.612
3815097f,explore,116,38.363
b875edba,query,33,319.157
b7d0234d,explore,32,134.102
39248759,query,17,359.666
b9033768,query,38,481.741
38b1d420,query,107,383.932
b8948bbd,explore,94,80.037
398a653a,explore,50,173.181
